Country_order,Total_cases,New_cases,Total_Detaths,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Test_1M_pop,Population
UAE,899835,198,2302,,883740,279,13793,,89004,228,156887853,15518068,10110012
Uruguay,899723,,7210,,888557,,3956,18,257369,2062,6091188,1742403,3495855
Ecuador,870526,,35598,,,,,759,48002,1963,2470170,136207,18135371
Costa Rica,857290,,8421,,836721,,12148,42,165512,1626,4291131,828466,5179610
Guatemala,848098,,17653,,828221,,2224,5,45782,953,4486196,242176,18524509
Latvia,824046,314,5789,9,812244,2099,6013,7,445940,3133,7196647,3894528,1847887
Azerbaijan,792607,8,9709,,782846,7,52,,76899,942,6829482,662597,10307138
Panama,782265,,8189,,764407,,9669,8,176202,1845,5909455,1331084,4439581
Saudi Arabia,754842,219,9099,3,742348,109,3395,53,21079,254,41954451,1171579,35810181
Sri Lanka,663520,17,16507,,646138,2,875,,30749,765,6486117,300586,21578260
Paraguay,649718,263,18872,2,624673,,6173,2,89081,2587,2633737,361105,7293551
Kuwait,631701,292,2555,,628486,396,660,3,144006,582,8038329,1832460,4386633
Myanmar,613017,52,19434,,591928,26,1655,,11130,353,8009269,145411,55080179
Palestine,581940,,5353,,576242,,345,17,109402,1006,3078533,578750,5319279
Dominican Republic,579572,,4376,,574824,,372,1,52460,396,3283648,297221,11047837
Estonia,572434,,2548,,511857,,58029,3,430993,1918,3329716,2506988,1328174
Bahrain,571441,680,1477,,566352,424,3612,2,315679,816,9742059,5381770,1810196
Venezuela,522587,,5709,,515871,,1007,230,18474,202,3359014,118744,28287881
Moldova,516986,,11489,,504142,,1355,49,128708,2860,3216305,800726,4016734
Egypt,515645,,24613,,442182,,48850,122,4870,232,3693367,34882,105880852
Libya,501904,,6430,,490973,,4501,101,71263,913,2477219,351728,7043003
Cyprus,474267,,1020,,124370,,348877,60,387628,834,9477138,7745848,1223512
Ethiopia,470704,18,7510,,455724,4,7470,5,3916,62,4807378,39997,120194875
Mongolia,469885,,2179,,313256,,154450,192,139213,646,4030048,1193982,3375301
Honduras,423794,,10895,,132358,,280541,105,41573,1069,1358559,133269,10194082
Armenia,422877,,8622,,412026,,2229,,142219,2900,3059332,1028893,2973422
Oman,389126,,4258,,384243,,625,4,72799,797,25000000,4677088,5345206
Bosnia and Herzegovina,377229,,15768,,192218,,169243,,116309,4862,1761186,543019,3243322
Réunion,374295,,742,,355605,,17948,10,412649,818,1603660,1767985,907055
Qatar,364981,86,677,,363749,49,555,2,129988,241,3458983,1231917,2807805
Kenya,323846,28,5649,,318055,13,142,,5788,101,3610647,64537,55947360
Zambia,319755,,3976,,315266,,513,1,16542,206,3429405,177417,19329671
North Macedonia,310063,,9284,,300107,,672,,148839,4457,2026507,972778,2083217
Botswana,305859,,2688,,303026,,145,1,125410,1102,2026898,831082,2438867
Albania,275266,,3496,,271480,,290,2,95844,1217,1810232,630299,2872022
Taiwan,268569,36213,896,10,32318,1345,235355,,11239,37,15134584,633352,23895999
Algeria,265791,5,6875,,178361,2,80555,6,5867,152,230861,5096,45306021
